p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.5925195166863e-243	3.49127693295283	0.175	0.025	3.14486214310718e-240	1	CXCR5
0	2.33427620665926	0.467	0.196	0	1	PASK
0	2.12715534523578	0.41	0.135	0	1	CCR7
5.89960636369582e-142	1.95828820606144	0.219	0.082	2.15925592911267e-139	1	TXK
0	1.4265610543052	0.774	0.465	0	1	LEF1
7.52172002790929e-119	1.26503258755116	0.405	0.248	2.7529495302148e-116	1	CD7
0	1.24240065373598	0.883	0.604	0	1	TCF7
3.18398656359857e-263	1.10928100697145	0.633	0.381	1.16533908227708e-260	1	CD27
4.39217253364713e-120	1.06796281595304	0.455	0.292	1.60753514731485e-117	1	TRIB2
8.45526304818301e-274	1.05360279010307	0.681	0.419	3.09462627563498e-271	1	SELL
2.18150087240158e-37	1.00163597384702	0.155	0.091	7.9842931929898e-35	1	BCL2A1
3.44249622430864e-66	0.987272935226287	0.31	0.201	1.25995361809696e-63	1	LGALS9
1.96184187325349e-68	0.981809284036382	0.322	0.209	7.18034125610776e-66	1	ICOS
1.02308843061392e-42	0.975882116209894	0.103	0.047	3.74450365604695e-40	1	NRP1
1.73070945073606e-40	0.824056071735477	0.125	0.065	6.33439658969398e-38	1	IGHM
1.39608739275244e-24	0.808921617138219	0.158	0.105	5.10967985747394e-22	1	GIMAP5
5.21509908216946e-39	0.719728488148261	0.271	0.189	1.90872626407402e-36	1	BIRC3
1.22961791655817e-87	0.719090194164197	0.568	0.423	4.50040157460291e-85	1	LTB
7.28868495231626e-160	0.694712861416432	0.88	0.781	2.66765869254775e-157	1	PIK3IP1
1.56631325460193e-68	0.672825961010908	0.472	0.343	5.73270651184308e-66	1	FOXP1
4.91778586051377e-48	0.65764727652901	0.398	0.297	1.79990962494804e-45	1	TRAT1
8.30957089058209e-17	0.648803615623633	0.212	0.163	3.04130294595305e-14	1	STAT6
1.82650102274869e-27	0.643679023805177	0.369	0.296	6.68499374326021e-25	1	BCL11B
1.89526421076103e-73	0.633340719997623	0.619	0.509	6.93666701138538e-71	1	CD5
1.61485787598066e-143	0.624430302363587	0.961	0.935	5.91037982608921e-141	1	JUNB
1.19076410418769e-37	0.618634539042091	0.495	0.411	4.35819662132694e-35	1	ITGA4
1.31204282543089e-64	0.614821186616069	0.67	0.579	4.80207674107705e-62	1	LAT
1.59507150522381e-23	0.598325820832555	0.305	0.239	5.83796170911913e-21	1	CD28
5.16748903784359e-90	0.579492004877086	0.811	0.731	1.89130098785075e-87	1	CD37
1.32052173422292e-07	0.577592037610645	0.114	0.09	4.8331095472559e-05	1	SLC25A37
5.35425558320024e-21	0.562852297860006	0.362	0.303	1.95965754345129e-18	1	GIMAP2
8.39102411196949e-65	0.514916540518376	0.756	0.677	3.07111482498083e-62	1	FYN
8.96466678730858e-07	0.477863759247988	0.2	0.172	0.000328106804415494	1	STAT5A
6.24357748345387e-42	0.46898124633082	0.521	0.433	2.28514935894411e-39	1	IL23R
3.66515401892959e-20	0.465839383736036	0.523	0.465	1.34144637092823e-17	1	ZAP70
6.27008990936416e-61	0.451062188593673	0.787	0.701	2.29485290682728e-58	1	CD6
3.24970387744006e-05	0.449616648648744	0.223	0.199	0.0118939161914306	1	CNOT2
2.68928220902187e-53	0.37455292227248	0.902	0.87	9.84277288502004e-51	1	CD69
8.99848679263481e-28	0.357282000745371	0.816	0.783	3.29344616610434e-25	1	CD48
2.38656219082826e-12	0.346657038368376	0.569	0.523	8.73481761843143e-10	1	CD247
8.65672986960271e-08	0.340906232278506	0.322	0.288	3.16836313227459e-05	1	IGBP1
