AIM,NonNV,non,AIM_relative,NonNV_relative,non_relative,param,sample
17,538,22378,0.145299145299145,0.315542521994135,0.9618740597464,singlet_unique,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.000392942748241581,0.00669312481171493,0.174911915333936,0.00800213390237396,0.00898603735096542,0.8488431222985,singlet_P1,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
8.62081351743559e-05,0.0113291857641633,0.397505711288955,0.00273847558192606,0.0214815016618536,0.901113933945671,singlet_P2,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.000903832248734635,0.00682895476821724,0.237014943359846,0.0183936235438381,0.0103169425437332,0.82027665786181,singlet_P3,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.000112506187840331,0.00488276855227037,0.236668016740921,0.00290023201856148,0.00719901801413263,0.836421471172962,singlet_P4,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
26,307,301,0.222222222222222,0.180058651026393,0.0129378895336342,0_unique,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.00971878397317511,0.145545993948682,0.00640496679633777,0.197919445185383,0.195406745682833,0.0310831426392067,0_P1,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.00620698573255363,0.137681575884711,0.0153737841060935,0.197170241898676,0.261060861984417,0.0348511497622305,0_P2,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.00928938700088375,0.12842451996465,0.0137985056640154,0.18904557531167,0.194019207719501,0.0477547615737522,0_P3,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.00789793438639126,0.155236037982089,0.0117456460105306,0.203596287703017,0.228875692532263,0.0415109343936382,0_P4,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
16,195,98,0.136752136752137,0.114369501466276,0.00421233612722974,blue_unique,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.0204592190917783,0.267724992468597,0.0107928274850354,0.416644438516938,0.359441494038617,0.0523773201118739,blue_P1,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.00718401126452966,0.0925516171209357,0.00184629089498412,0.228206298493838,0.175489020868523,0.00418539508826787,blue_P2,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.0114786695589299,0.159536434482205,0.00293243351811681,0.233599019006744,0.241021984190803,0.0101487557347421,blue_P3,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.0105080779442869,0.142815354844516,0.000877548265154583,0.270881670533643,0.210562983113824,0.0031013916500994,blue_P4,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
6,48,23,0.0512820512820513,0.0281524926686217,0.000988609499247797,invblue_unique,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.000654904580402635,0.0183373282512738,2.61961832161054e-05,0.0133368898372899,0.0246192804136039,0.000127129417747267,invblue_P1,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
0.0016235865457837,0.0405609275995344,0.00221985948073967,0.0515746234596075,0.0769084073448482,0.00503224545632206,invblue_P2,NaraCOVID_CD8_001_TCR.wgcna.aim.csv
